iter	RMSE
306	23.19679606
307	23.18758702
308	23.17673379
309	23.1564269
310	23.12838292
311	23.10766299
312	23.10627817
313	23.09273921
314	23.06923086
315	23.04574375
316	23.01553353
317	22.98918108
318	22.98768203
319	22.94419544
320	22.93010191
321	22.92330966
322	22.91425616
323	22.89361781
324	22.88694738
325	22.86048342
326	22.83705343
327	22.83196821
328	22.82787352
329	22.79617205
330	22.77535989
331	22.76729296
332	22.75677592
333	22.75103996
334	22.73273648
335	22.69259265
336	22.6766822
337	22.65185601
338	22.6447946
339	22.64343157
340	22.6271637
341	22.59775176
342	22.56146032
343	22.55098886
344	22.53258947
345	22.51882798
346	22.49744476
347	22.48067023
348	22.46202726
349	22.43540088
350	22.41683433
351	22.40048198
352	22.39920752
353	22.36454165
354	22.36068174
355	22.34510071
356	22.33543819
357	22.31628763
358	22.31183913
359	22.29574173
360	22.28676631
361	22.26555634
362	22.25572246
363	22.22919035
364	22.19720573
365	22.17026824
366	22.15806475
367	22.14655547
368	22.11612935
369	22.10630832
370	22.09761364
371	22.08821747
372	22.07447268
373	22.06985439
374	22.05395435
375	22.03604908
376	22.03321168
377	22.01948927
378	21.99638106
379	21.99371149
380	21.97159469
381	21.95947992
382	21.94951516
383	21.93314774
384	21.91196727
385	21.89925839
386	21.8897347
387	21.87912829
388	21.8564649
389	21.85349503
390	21.82371004
391	21.79606627
392	21.7867219
393	21.77379993
394	21.76518932
395	21.75481999
396	21.73837481
397	21.70847956
398	21.69701368
399	21.66828011
400	21.66531648
401	21.66475246
402	21.65886621
403	21.64967186
404	21.61884956
405	21.58267243
406	21.57895113
407	21.57458198
408	21.54682563
409	21.51450083
410	21.49675411
411	21.46777127
412	21.44886679
413	21.42831444
414	21.41572107
415	21.40225725
416	21.39297022
417	21.36954848
418	21.3651804
419	21.35489356
420	21.33683928
421	21.30572629
422	21.29014157
423	21.25937639
424	21.23968288
425	21.22759582
426	21.19584835
427	21.16434531
428	21.14510635
429	21.13071504
430	21.11947251
431	21.10817886
432	21.10384456
433	21.09150185
434	21.07473472
435	21.06558748
436	21.04595559
437	21.02954601
438	21.0224832
439	21.01155479
440	21.0077027
441	20.99167064
442	20.96535504
443	20.95585879
444	20.93642358
445	20.92503351
446	20.9025767
447	20.88066176
448	20.85341715
449	20.84427298
450	20.82081817
451	20.80583867
452	20.78391631
453	20.75325584
454	20.7417042
455	20.72553859
456	20.70911243
457	20.69159353
458	20.67173551
459	20.6592487
460	20.65392477
461	20.63265007
462	20.61425395
463	20.58810399
464	20.58743616
465	20.57364538
466	20.55200549
467	20.55124665
468	20.52504886
469	20.5145683
470	20.50687594
471	20.49728349
472	20.48533711
473	20.47265272
474	20.45535776
475	20.42953883
476	20.41454123
477	20.40103325
478	20.38363132
479	20.38201968
480	20.38063979
481	20.37340567
482	20.36390949
483	20.34208209
484	20.33445894
485	20.30922846
486	20.2985648
487	20.27902297
488	20.25315333
489	20.238576
490	20.22501147
491	20.2056892
492	20.19133173
493	20.16987037
494	20.15319163
495	20.14084749
496	20.12579377
497	20.10699671
498	20.10596337
499	20.09019247
500	20.07163745
501	20.0556875
502	20.04078846
503	20.02087018
504	20.00417483
505	19.97901672
506	19.96751094
507	19.94534745
508	19.92373275
509	19.91274819
510	19.91215752
511	19.89072861
512	19.88301301
513	19.8602215
514	19.84308975
515	19.82001236
516	19.79448847
517	19.78742339
518	19.77363016
519	19.76121538
520	19.74849942
521	19.73606303
522	19.71066524
523	19.69286797
524	19.68094588
525	19.66844757
526	19.66463425
527	19.63760561
528	19.60897106
529	19.60006828
530	19.57263235
531	19.56532516
532	19.55079508
533	19.53455828
534	19.53283105
535	19.51764899
536	19.49822809
537	19.48512271
538	19.46458609
539	19.45249977
540	19.44087438
541	19.42796845
542	19.41350654
543	19.39565911
544	19.37086882
545	19.35764307
546	19.33658561
547	19.32041432
548	19.30950411
549	19.29671395
550	19.2754759
551	19.2578465
552	19.25262834
553	19.2327675
554	19.20931151
555	19.18797855
556	19.18381611
557	19.16504081
558	19.14427925
559	19.1299029
560	19.11548188
561	19.10148682
562	19.09120261
563	19.08097187
564	19.0616618
565	19.04632113
566	19.03691276
567	19.02119374
568	18.99593896
569	18.98107149
570	18.96850321
571	18.95417557
572	18.94081172
573	18.92564985
574	18.92285646
575	18.92118531
576	18.9061043
577	18.90134627
578	18.88301339
579	18.88185654
580	18.87400476
581	18.85925629
582	18.84126916
583	18.83074094
584	18.82430616
585	18.8112469
586	18.80738102
587	18.80600605
588	18.79034796
589	18.77611485
590	18.76395262
591	18.75675012
592	18.74109544
593	18.72600235
594	18.71015727
595	18.69656359
596	18.68382901
597	18.6686558
598	18.65105868
599	18.63592166
600	18.62287237
601	18.60728071
602	18.59635912
603	18.57855328
604	18.56913468
605	18.55324002
606	18.54970884
607	18.537503
608	18.5191827
609	18.51822027
610	18.51449051
611	18.50973351
612	18.50347982
613	18.49023072
614	18.47060957
615	18.45344477
616	18.45323552
617	18.43375908
618	18.41504664
619	18.41285537
620	18.40003316
621	18.38871443
622	18.37609011
623	18.35714197
624	18.34079677
625	18.33102084
626	18.31573355
627	18.29459105
628	18.28160347
629	18.27548635
630	18.26118473
631	18.25402796
632	18.24496489
633	18.23371811
634	18.21616994
635	18.19773028
636	18.19477062
637	18.17055566
638	18.15145119
639	18.14225101
640	18.13249991
641	18.11803152
642	18.10873149
643	18.10577833
644	18.09761082
645	18.09407981
646	18.0717822
647	18.05625422
648	18.04782703
649	18.04089346
650	18.03961339
651	18.02657687
652	18.01175899
653	18.00137377
654	17.98390132
655	17.97329472
656	17.95660069
657	17.94520998
658	17.92569455
659	17.91599621
660	17.90011535
661	17.89244916
662	17.87697525
663	17.86942261
664	17.85439808
665	17.84386467
666	17.82194606
667	17.80783142
668	17.80245931
669	17.79731409
670	17.76732833
671	17.7428765
672	17.74042456
673	17.73855496
674	17.72796009
675	17.7145048
676	17.70428831
677	17.69015671
678	17.67612887
679	17.66291846
680	17.64910896
681	17.64591507
682	17.63399049
683	17.62710307
684	17.6113784
685	17.60350055
686	17.59556843
687	17.5834005
688	17.56318234
689	17.55306118
690	17.54270902
691	17.52663795
692	17.52346493
693	17.51515492
694	17.5057484
695	17.48549013
696	17.47296867
697	17.4706365
698	17.46290721
699	17.45630166
700	17.44978013
701	17.44260712
702	17.43321862
703	17.42383107
704	17.41452816
705	17.40769152
706	17.3894037
707	17.37254123
708	17.37002496
709	17.35868073
710	17.34490961
711	17.3326681
712	17.31148639
713	17.29654463
714	17.28600132
715	17.2612542
716	17.23689974
717	17.22443706
718	17.21748335
719	17.20642581
720	17.20103904
721	17.18755613
722	17.16885999
723	17.15429851
724	17.13781873
725	17.1226681
726	17.10699057
727	17.08837203
728	17.07329568
729	17.06669926
730	17.05365535
731	17.03988718
732	17.03062115
733	17.02139546
734	17.01105484
735	16.98308718
736	16.9756554
737	16.97462308
738	16.97091247
739	16.97018833
740	16.95865667
741	16.94336281
742	16.93202994
743	16.92523113
744	16.91502263
745	16.89824021
746	16.88925397
747	16.86836972
748	16.85966259
749	16.8506389
750	16.83408967
751	16.83186015
752	16.82316281
753	16.80924833
754	16.79620041
755	16.78986437
756	16.77296686
757	16.75673906
758	16.74925551
759	16.74621728
760	16.72753163
761	16.71631673
762	16.69127589
763	16.68415551
764	16.67011633
765	16.64436678
766	16.6364921
767	16.62822349
768	16.61866016
769	16.61074167
770	16.60696341
771	16.59905279
772	16.59541175
773	16.58542064
774	16.57160462
775	16.55467324
776	16.53950437
777	16.53780551
778	16.53579881
779	16.52591911
780	16.51477848
781	16.50393488
782	16.49805931
783	16.48080509
784	16.47666599
785	16.46391693
786	16.44803348
787	16.43742513
788	16.41803253
789	16.40536227
790	16.39187971
791	16.37879317
792	16.36877772
793	16.3570326
794	16.34376541
795	16.3373447
796	16.32983132
797	16.31622687
798	16.30558353
799	16.29406165
800	16.27844605
801	16.26730141
802	16.24976179
803	16.23481407
804	16.23004489
805	16.22540409
806	16.22216355
807	16.21483514
808	16.20402109
809	16.19573945
810	16.17993137
811	16.17468208
812	16.15598854
813	16.14448953
814	16.13326567
815	16.12184629
816	16.11031689
817	16.09097074
818	16.08182453
819	16.07077915
820	16.0574407
821	16.04456651
822	16.02143013
823	16.00676107
824	15.99182213
825	15.98215886
826	15.96819233
827	15.95719579
828	15.94880141
829	15.93243962
830	15.91595386
831	15.90152056
832	15.88964383
833	15.88218559
834	15.86619923
835	15.85746764
836	15.84050558
837	15.83160732
838	15.83000642
839	15.81024267
840	15.79918539
841	15.79138157
842	15.78106577
843	15.76921301
844	15.75258944
845	15.73668221
846	15.72038449
847	15.71120562
848	15.69509491
849	15.68630213
850	15.67007067
851	15.66637158
852	15.65873421
853	15.64540964
854	15.63508449
855	15.62781888
856	15.6073667
857	15.59305587
858	15.58471031
859	15.57173046
860	15.56134539
861	15.54743432
862	15.52633162
863	15.51880481
864	15.50911421
865	15.50055473
866	15.48477442
867	15.47607418
868	15.47012592
869	15.45979639
870	15.4506248
871	15.4408264
872	15.42716002
873	15.42122046
874	15.40535896
875	15.38588482
876	15.37736781
877	15.36955454
878	15.35614919
879	15.34605159
880	15.33312643
881	15.3195191
882	15.31077565
883	15.30381195
884	15.29002435
885	15.28478179
886	15.27091154
887	15.26333195
888	15.25586209
889	15.25049245
890	15.23460507
891	15.21911119
892	15.20676017
893	15.19997472
894	15.19387244
895	15.18621114
896	15.17820431
897	15.15980777
898	15.15581928
899	15.14615381
900	15.13557871
901	15.11914597
902	15.10596499
903	15.09984738
904	15.08994595
905	15.08012888
906	15.07341278
907	15.05984899
908	15.04247877
909	15.03204262
910	15.01975999
911	15.01261314
912	14.99597457
913	14.98076409
914	14.96968401
915	14.95726039
916	14.95031377
917	14.94077696
918	14.93355402
919	14.93051041
920	14.92101787
921	14.91179262
922	14.9008605
923	14.88653045
924	14.87293146
925	14.86239132
926	14.85722824
927	14.85206528
928	14.8346456
929	14.82646185
930	14.82077031
931	14.80276917
932	14.79425414
933	14.77889428
934	14.7669345
935	14.75744739
936	14.74538156
937	14.73897767
938	14.72786472
939	14.721268
940	14.71087266
941	14.70854172
942	14.69391844
943	14.68931453
944	14.67379231
945	14.66578621
946	14.65965394
947	14.65373306
948	14.64741161
949	14.63574846
950	14.62735293
951	14.61924781
952	14.61182101
953	14.60217468
954	14.59094854
955	14.588349
956	14.57636268
957	14.56841713
958	14.55652313
959	14.54375934
960	14.5309117
961	14.52255268
962	14.5067843
963	14.49457429
964	14.4920576
965	14.47964688
966	14.47425224
967	14.46688689
968	14.46315356
969	14.45431019
970	14.44318275
971	14.43533411
972	14.41945757
973	14.41150929
974	14.4042348
975	14.39814915
976	14.3918614
977	14.38528947
978	14.38188302
979	14.37595089
980	14.36493249
981	14.34921246
982	14.33683376
983	14.32711267
984	14.31828763
985	14.31035626
986	14.30656104
987	14.30138428
988	14.28657321
989	14.26777377
990	14.25798319
991	14.24397607
992	14.23634283
993	14.22108259
994	14.20860621
995	14.20312969
996	14.19683028
997	14.18754136
998	14.17324608
999	14.16281355
